2	(23.6783,386.222,1.895)	3.614447460766
0	(27.3524,346.187,1.895)	3.646422308194
1	(27.1553,367.305,1.895)	3.711781848199
4	(26.7671,408.897,1.895)	4.52497499478
2	(23.8656,366.162,1.895)	4.614447460766
0	(27.5397,326.117,1.895)	4.646422308194
1	(27.3348,348.063,1.895)	4.711781848199
4	(26.9424,390.112,1.895)	5.52497499478
2	(24.0529,346.091,1.895)	5.614447460766
0	(27.7268,306.064,1.895)	5.646422308194
1	(27.5157,328.684,1.895)	5.711781848199
5	(23.5098,404.281,1.895)	5.731263434025
4	(27.1198,371.108,1.895)	6.52497499478
2	(24.24,326.048,1.895)	6.614447460766
0	(27.914,286.008,1.895)	6.646422308194
1	(27.6976,309.2,1.895)	6.711781848199
5	(23.6969,384.228,1.895)	6.731263434025
6	(26.8285,402.311,1.895)	6.817597010219
4	(27.2991,351.897,1.895)	7.52497499478
2	(24.4272,305.992,1.895)	7.614447460766
0	(28.101,265.97,1.895)	7.646422308194
1	(27.8804,289.609,1.895)	7.711781848199
5	(23.8843,364.159,1.895)	7.731263434025
6	(27.0156,382.265,1.895)	7.817597010219
7	(26.8367,401.434,1.895)	7.93406303029
8	(23.435,412.29,1.895)	8.314609661512
4	(27.4797,332.548,1.895)	8.52497499478
2	(24.6144,285.928,1.895)	8.614447460766
0	(28.2883,245.907,1.895)	8.646422308194
1	(28.064,269.939,1.895)	8.711781848199
5	(24.0714,344.107,1.895)	8.731263434025
6	(27.2029,362.205,1.895)	8.817597010219
7	(27.0129,382.559,1.895)	8.93406303029
9	(26.7164,414.33,1.895)	9.21032849825
8	(23.6222,392.234,1.895)	9.314609661512
4	(27.6614,313.07,1.895)	9.52497499478
2	(24.8017,265.867,1.895)	9.614447460766
0	(28.4754,225.858,1.895)	9.646422308194
1	(28.2482,250.201,1.895)	9.711781848199
5	(24.2584,324.074,1.895)	9.731263434025
6	(27.3903,342.118,1.895)	9.817597010219
7	(27.1913,363.444,1.895)	9.93406303029
2	(23.6783,386.222,1.895)	3.614447460766
0	(27.3524,346.187,1.895)	3.646422308194
1	(27.1553,367.305,1.895)	3.711781848199
4	(26.7671,408.897,1.895)	4.52497499478
2	(23.8656,366.162,1.895)	4.614447460766
0	(27.5397,326.117,1.895)	4.646422308194
1	(27.3348,348.063,1.895)	4.711781848199
4	(26.9424,390.112,1.895)	5.52497499478
2	(24.0529,346.091,1.895)	5.614447460766
0	(27.7268,306.064,1.895)	5.646422308194
1	(27.5157,328.684,1.895)	5.711781848199
5	(23.5098,404.281,1.895)	5.731263434025
4	(27.1198,371.108,1.895)	6.52497499478
2	(24.24,326.048,1.895)	6.614447460766
0	(27.914,286.008,1.895)	6.646422308194
1	(27.6976,309.2,1.895)	6.711781848199
5	(23.6969,384.228,1.895)	6.731263434025
6	(26.8285,402.311,1.895)	6.817597010219
4	(27.2991,351.897,1.895)	7.52497499478
2	(24.4272,305.992,1.895)	7.614447460766
0	(28.101,265.97,1.895)	7.646422308194
1	(27.8804,289.609,1.895)	7.711781848199
5	(23.8843,364.159,1.895)	7.731263434025
6	(27.0156,382.265,1.895)	7.817597010219
7	(26.8367,401.434,1.895)	7.93406303029
8	(23.435,412.29,1.895)	8.314609661512
2	(23.6783,386.222,1.895)	3.614447460766
0	(27.3524,346.187,1.895)	3.646422308194
1	(27.1553,367.305,1.895)	3.711781848199
4	(26.7671,408.897,1.895)	4.52497499478
2	(23.8656,366.162,1.895)	4.614447460766
0	(27.5397,326.117,1.895)	4.646422308194
1	(27.3348,348.063,1.895)	4.711781848199
4	(26.9424,390.112,1.895)	5.52497499478
2	(24.0529,346.091,1.895)	5.614447460766
0	(27.7268,306.064,1.895)	5.646422308194
