26.6976	416.34	1.895	0	0	0	2	9.104964017577	24.7081	275.897	1.895	140.458	140.458	-77.7734	
26.6976	416.34	1.895	0	0	0	8	9.105159656343	23.5847	396.251	1.895	20.3293	20.3293	-60.9849	
26.6976	416.34	1.895	0	0	0	1	9.119172076066	28.1377	262.042	1.895	154.305	154.305	-78.5901	
26.6976	416.34	1.895	104.73	419.88	1.895	5	9.120336667087	24.1462	336.097	1.895	80.2836	80.2836	-72.915	
26.6976	416.34	1.895	54.5585	418.476	1.895	3	9.125066219154	27.8209	295.989	1.895	120.356	120.356	-76.4319	
26.6976	416.34	1.895	44.5073	417.007	1.895	0	9.129642230819	28.3819	235.877	1.895	180.471	180.471	-79.9506	
26.6976	416.34	1.895	27.739	416.54	1.895	6	9.130111458793	27.2591	356.181	1.895	60.1615	60.1615	-70.4089	
26.6976	416.34	1.895	33.4058	416.872	1.895	4	9.141651904734	27.5884	320.895	1.895	95.4491	95.4491	-74.4179	
26.6976	416.34	1.895	29.1976	416.616	1.895	7	9.149149505596	27.0484	378.757	1.895	37.5847	37.5847	-66.3227	
26.7164	414.33	1.895	2.70137	415.829	1.895	2	9.204964017577	24.7268	273.888	1.895	140.456	140.456	-77.7733	
26.7164	414.33	1.895	-2.61691	415.784	1.895	8	9.205159656343	23.6035	394.241	1.895	20.3285	20.3285	-60.9846	
26.7164	414.33	1.895	7.59757	415.264	1.895	1	9.219172076066	28.1561	260.068	1.895	154.268	154.268	-78.588	
26.7164	414.33	1.895	-9.69944	415.081	1.895	5	9.220336667087	24.1649	334.089	1.895	80.2815	80.2815	-72.9148	
26.7164	414.33	1.895	-3.5673	414.916	1.895	3	9.225066219154	27.8396	293.983	1.895	120.352	120.352	-76.4316	
26.7164	414.33	1.895	10.4249	414.086	1.895	0	9.229642230819	28.4006	233.878	1.895	180.461	180.461	-79.9501	
26.7164	414.33	1.895	10.9463	413.983	1.895	6	9.230111458793	27.2778	354.179	1.895	60.1543	60.1543	-70.4078	
26.7164	414.33	1.895	13.3181	413.664	1.895	4	9.241651904734	27.6066	318.943	1.895	95.3917	95.3917	-74.4127	
26.7164	414.33	1.895	29.0604	414.568	1.895	7	9.249149505596	27.0662	376.845	1.895	37.4866	37.4866	-66.3	
26.735	412.329	1.895	2.6831	413.784	1.895	2	9.304964017577	24.7455	271.882	1.895	140.461	140.461	-77.7736	
26.735	412.329	1.895	-1.17816	414.127	1.895	8	9.305159656343	23.6222	392.234	1.895	20.334	20.334	-60.9869	
26.735	412.329	1.895	7.58279	413.225	1.895	1	9.319172076066	28.1745	258.099	1.895	154.236	154.236	-78.5862	
26.735	412.329	1.895	-9.63736	413.041	1.895	5	9.320336667087	24.1836	332.087	1.895	80.2824	80.2824	-72.9149	
26.735	412.329	1.895	-3.52731	412.876	1.895	3	9.325066219154	27.8583	291.974	1.895	120.36	120.36	-76.4321	
26.735	412.329	1.895	10.4162	412.051	1.895	0	9.329642230819	28.4193	231.874	1.895	180.463	180.463	-79.9502	
26.735	412.329	1.895	10.937	411.947	1.895	6	9.330111458793	27.2965	352.169	1.895	60.1623	60.1623	-70.409	
26.735	412.329	1.895	13.3005	411.631	1.895	4	9.341651904734	27.6249	316.989	1.895	95.3439	95.3439	-74.4084	
26.735	412.329	1.895	28.9021	412.523	1.895	7	9.349149505596	27.084	374.942	1.895	37.3884	37.3884	-66.2772	
26.7537	410.326	1.895	4.05372	412.131	1.895	2	9.404964017577	24.7642	269.881	1.895	140.459	140.459	-77.7735	
26.7537	410.326	1.895	-1.35697	412.077	1.895	8	9.405159656343	23.641	390.224	1.895	20.3415	20.3415	-60.9901	
26.7537	410.326	1.895	7.42335	411.177	1.895	1	9.419172076066	28.1929	256.127	1.895	154.206	154.206	-78.5845	
26.7537	410.326	1.895	-8.41457	411.371	1.895	5	9.420336667087	24.2023	330.085	1.895	80.2818	80.2818	-72.9148	
26.7537	410.326	1.895	-3.68284	410.827	1.895	3	9.425066219154	27.8771	289.966	1.895	120.365	120.365	-76.4325	
26.7537	410.326	1.895	10.2838	410.002	1.895	0	9.429642230819	28.438	229.871	1.895	180.463	180.463	-79.9503	
26.7537	410.326	1.895	10.8088	409.899	1.895	6	9.430111458793	27.3153	350.159	1.895	60.1692	60.1692	-70.41	
26.7537	410.326	1.895	14.6494	409.947	1.895	4	9.441651904734	27.6432	315.03	1.895	95.3004	95.3004	-74.4044	
26.7537	410.326	1.895	28.7364	410.475	1.895	7	9.449149505596	27.1018	373.032	1.895	37.2951	37.2951	-66.2555	
26.7725	408.316	1.895	3.80737	410.083	1.895	2	9.504964017577	24.7829	267.874	1.895	140.456	140.456	-77.7733	
26.7725	408.316	1.895	-1.5943	410.033	1.895	8	9.505159656343	23.6597	388.22	1.895	20.3358	20.3358	-60.9877	
26.7725	408.316	1.895	8.66325	409.507	1.895	1	9.519172076066	28.2114	254.15	1.895	154.173	154.173	-78.5826	
26.7725	408.316	1.895	-8.66691	409.324	1.895	5	9.520336667087	24.221	328.079	1.895	80.2774	80.2774	-72.9144	
26.7725	408.316	1.895	-3.90264	408.781	1.895	3	9.525066219154	27.8958	287.956	1.895	120.364	120.364	-76.4325	
26.7725	408.316	1.895	10.1303	407.955	1.895	0	9.529642230819	28.4566	227.87	1.895	180.454	180.454	-79.9498	
